ID_MEMORABILIA,SHOW_ID,DATUM,MESTO,STAT,VENUE,KATEGORIE,SOUBOR_SKEN,CONTRIBUTOR,LINEUP,SETLIST,POCET_SKLADEB,SETLIST_URL,YOUTUBE_URL,REVIEW_URL,SETLIST_FM_URL,TOUR_ID,TOUR_NAME,STATUS,ORIGINAL_DATE,NOTE
TICKET_0599,SHOW_1982-06-29_LONDON,1982-06-29,London,U.K.,Dominion Theatre,tickets,kk-joe-jackson-1982-06-29.jpg,"Gert Schaumlöffel, Germany","Joe Jackson (vocals, keyboards, alto sax) ; Graham Maby (bass, vocals) ; Larry Tolfree (drums) ; Sue Hadjopoulos (percussion) ; Joy Askew (keyboards, vocals)","One to One (cover of Joe Jackson Band), On Your Radio, Sunday Papers, Cancer, Is She Really Going Out With Him?, Real Men, Breaking Us in Two, It's Different for Girls, Tuxedo Junction (cover of Erskine Hawkins and His Orchestra), [Encore 1], The Motown Medley (Medley of Tamla Motown covers, e.g. Uptight, The Tears Of A Clown, Heat Wave, etc.)",14.0,https://www.setlist.fm/setlist/joe-jackson/1982/dominion-theatre-london-england-3cf515b.html,,,https://www.setlist.fm/setlist/joe-jackson/1982/dominion-theatre-london-england-3cf515b.html,tour-1982-night-day,1982 / 1983 * Night and Day World Tour,,,
TICKET_0600,SHOW_1982-07-17_SAINTPABU,1982-07-17,Saint-Pabu,France,Elixir Festival,tickets,kk-jj-hl-1.jpg,"Hervé Lenoach, France","Joe Jackson (vocals, keyboards, alto sax) ; Graham Maby (bass, vocals) ; Larry Tolfree (drums) ; Sue Hadjopoulos (percussion) ; Joy Askew (keyboards, vocals)","On Your Radio, Sunday Papers, Look Sharp!, Real Men, Is She Really Going Out With Him?, Breaking Us in Two, Target, T.V. Age, It's Different for Girls, Tuxedo Junction (cover of Erskine Hawkins and His Orchestra), Steppin' Out, Friday, One More Time, A Slow Song, I'm the Man, Uptight (Everything's Alright) (cover of Stevie Wonder), The Tears of a Clown (cover of Smokey Robinson & The Miracles), I'm Gonna Make You Love Me (cover of Dee Dee Warwick), How Sweet It Is (To Be Loved by You) (cover of Marvin Gaye), Heat Wave (cover of Martha Reeves and the Vandellas)",20.0,https://www.setlist.fm/setlist/joe-jackson/1982/site-du-festival-saint-pabu-france-53fa134d.html,,,https://www.setlist.fm/setlist/joe-jackson/1982/site-du-festival-saint-pabu-france-53fa134d.html,tour-1982-night-day,1982 / 1983 * Night and Day World Tour,,,
TICKET_0601,SHOW_1982-07-25_LEEDS,1982-07-25,Leeds,U.K.,Roundhay Park Arena Support for the Rolling Stones,tickets,kk-joe-jackson-1982-07-25.jpg,"Gert Schaumlöffel, Germany","Joe Jackson (vocals, keyboards, alto sax) ; Graham Maby (bass, vocals) ; Larry Tolfree (drums) ; Sue Hadjopoulos (percussion) ; Joy Askew (keyboards, vocals)","Look Sharp!, Target, T.V. Age, It's Different for Girls, Is She Really Going Out With Him?, Another World, Breaking Us in Two, Steppin' Out",8.0,https://www.setlist.fm/setlist/joe-jackson/1982/roundhay-park-leeds-england-33df0851.html,,,https://www.setlist.fm/setlist/joe-jackson/1982/roundhay-park-leeds-england-33df0851.html,tour-1982-night-day,1982 / 1983 * Night and Day World Tour,,,
TICKET_0602,SHOW_1982-08-08_GLASGOW,1982-08-08,Glasgow,Scotland,Pavilion Theatre,tickets,kk-joe-jackson-1982-08-08.jpg,"Gert Schaumlöffel, Germany","Joe Jackson (vocals, keyboards, alto sax) ; Graham Maby (bass, vocals) ; Larry Tolfree (drums) ; Sue Hadjopoulos (percussion) ; Joy Askew (keyboards, vocals)","One to One (cover of Joe Jackson Band), On Your Radio, Sunday Papers, Look Sharp!, Cancer, Real Men, Is She Really Going Out With Him?, Friday, Breaking Us in Two, Fools in Love, Another World, Target, T.V. Age, It's Different for Girls, Steppin' Out, Beat Crazy (cover of Joe Jackson Band), One More Time, A Slow Song",18.0,https://www.setlist.fm/setlist/joe-jackson/1982/pavilion-theatre-glasgow-scotland-bcf514a.html,https://youtu.be/vp2GWYog6Kw,,https://www.setlist.fm/setlist/joe-jackson/1982/pavilion-theatre-glasgow-scotland-bcf514a.html,tour-1982-night-day,1982 / 1983 * Night and Day World Tour,,,
TICKET_0603,SHOW_1982-08-12_SOUTHAMPTON,1982-08-12,Southampton,U.K.,Gaumont Theatre,tickets,kk-joe-jackson-1982-08-12.jpg,"Martin Ayling, U.K.","Joe Jackson (vocals, keyboards, alto sax) ; Graham Maby (bass, vocals) ; Larry Tolfree (drums) ; Sue Hadjopoulos (percussion) ; Joy Askew (keyboards, vocals)",,0.0,https://www.setlist.fm/setlist/joe-jackson/1982/gaumont-theatre-southampton-U.K.-bcf5142.html,,,https://www.setlist.fm/setlist/joe-jackson/1982/gaumont-theatre-southampton-england-bcf5142.html,tour-1982-night-day,1982 / 1983 * Night and Day World Tour,,,
TICKET_0604,SHOW_1982-08-13_BRIGHTON,1982-08-13,Brighton,U.K.,The Dome,tickets,kk-joe-jackson-1982-08-13.jpg,"Gert Schaumlöffel, Germany","Joe Jackson (vocals, keyboards, alto sax) ; Graham Maby (bass, vocals) ; Larry Tolfree (drums) ; Sue Hadjopoulos (percussion) ; Joy Askew (keyboards, vocals)",,0.0,https://www.setlist.fm/setlist/joe-jackson/1982/brighton-dome-brighton-U.K.-bcf5146.html,,,https://www.setlist.fm/setlist/joe-jackson/1982/brighton-dome-brighton-england-bcf5146.html,tour-1982-night-day,1982 / 1983 * Night and Day World Tour,,,
TICKET_0605,SHOW_1982-08-15_LONDON,1982-08-15,London,U.K.,Hammersmith Odeon,tickets,"kk-joe-jackson-1982-08-15-1.jpg, kk-joe-jackson-1982-08-15-2.jpg","Gert Schaumlöffel, Germany","Joe Jackson (vocals, keyboards, alto sax) ; Graham Maby (bass, vocals) ; Larry Tolfree (drums) ; Sue Hadjopoulos (percussion) ; Joy Askew (keyboards, vocals)","Look Sharp!, Cancer, Real Men, Friday, Breaking Us in Two, Fools in Love, Chinatown, Target, T.V. Age, It's Different for Girls, Tuxedo Junction (cover of Erskine Hawkins and His Orchestra), Steppin' Out",12.0,https://www.setlist.fm/setlist/joe-jackson/1982/hammersmith-odeon-london-england-1bcf5144.html,,,https://www.setlist.fm/setlist/joe-jackson/1982/hammersmith-odeon-london-england-1bcf5144.html,tour-1982-night-day,1982 / 1983 * Night and Day World Tour,,,
TICKET_0606,SHOW_1982-08-28_NEWYORK,1982-08-28,New York,NY,Pier 84,tickets,kk-joe-jackson-1982-08-28.jpg,"Gert Schaumlöffel, Germany","Joe Jackson (vocals, keyboards, alto sax) ; Graham Maby (bass, vocals) ; Larry Tolfree (drums) ; Sue Hadjopoulos (percussion) ; Joy Askew (keyboards, vocals)","On Your Radio, Another World, Sunday Papers, Look Sharp!, Cancer, Real Men, Is She Really Going Out With Him?, Target, T.V. Age, Tuxedo Junction (cover of Erskine Hawkins and His Orchestra), Steppin' Out, Beat Crazy (cover of Joe Jackson Band), One More Time, A Slow Song, [Encore 1], Friday, [Encore 2], I'm the Man",16.0,https://www.setlist.fm/setlist/joe-jackson/1982/pier-84-new-york-ny-53f2f745.html,,,https://www.setlist.fm/setlist/joe-jackson/1982/pier-84-new-york-ny-53f2f745.html,tour-1982-night-day,1982 / 1983 * Night and Day World Tour,,,
TICKET_0607,SHOW_1982-08-31_COLUMBIA,1982-08-31,Columbia,MD,Merriweather Post Pavilion,tickets,kk-joe-jackson-1982-08-31.jpg,"Gert Schaumlöffel, Germany","Joe Jackson (vocals, keyboards, alto sax) ; Graham Maby (bass, vocals) ; Larry Tolfree (drums) ; Sue Hadjopoulos (percussion) ; Joy Askew (keyboards, vocals)",,0.0,https://www.setlist.fm/setlist/joe-jackson/1982/merriweather-post-pavilion-columbia-md-2b8ea0fe.html,,,https://www.setlist.fm/setlist/joe-jackson/1982/merriweather-post-pavilion-columbia-md-2b8ea0fe.html,tour-1982-night-day,1982 / 1983 * Night and Day World Tour,,,
TICKET_0608,SHOW_1982-09-06_BERKELEY,1982-09-06,Berkeley,CA,Greek Theatere,tickets,kk-joe-jackson-1982-09-06.jpg,"Gert Schaumlöffel, Germany","Joe Jackson (vocals, keyboards, alto sax) ; Graham Maby (bass, vocals) ; Larry Tolfree (drums) ; Sue Hadjopoulos (percussion) ; Joy Askew (keyboards, vocals)","On Your Radio, Another World, Sunday Papers, Look Sharp!, Real Men, Is She Really Going Out With Him?, Breaking Us in Two, Target, T.V. Age, Tuxedo Junction (cover of Erskine Hawkins and His Orchestra), Steppin' Out, Beat Crazy (cover of Joe Jackson Band), One More Time, Friday, A Slow Song, I'm the Man, Uptight (Everything's Alright) / The Tears of a Clown / I'm Gonna Make You Love Me / How Sweet It Is (To Be Loved by You) / Heat Wave",17.0,https://www.setlist.fm/setlist/joe-jackson/1982/greek-theatre-los-angeles-ca-238048ab.html,,,https://www.setlist.fm/setlist/joe-jackson/1982/greek-theatre-los-angeles-ca-238048ab.html,tour-1982-night-day,1982 / 1983 * Night and Day World Tour,,,
